DLO Name,Label,Category,Status,Total Records,Created Date,DLO ID
ssot_KnowledgeArticleVers_SI_chunk__dll,ssot_KnowledgeArticleVers_SI_chunk__dlm,Content,ACTIVE,,2024-12-03T18:42:39.000Z,1dlam000000lmCXAAY
ssot_KnowledgeArticleVers_SI_index__dll,ssot_KnowledgeArticleVers_SI_index__dlm,Vector_Embedding,ACTIVE,,2024-12-03T18:42:44.000Z,1dlam000000lmCYAAY
StaticCurrencyRates_00Da500000TFDEl__dll,Static Currency Rates 00Da500000TFDEl,Other,ACTIVE,1,2024-09-24T11:38:12.000Z,1dlam000000jQb7AAE
StaticCurrencyRates_00Dal000003O56w__dll,Static Currency Rates 00Dal000003O56w,Other,ACTIVE,1,2024-09-24T11:38:40.000Z,1dlam000000jcUBAAY
StaticCurrencyRates_00Dal00000bx9DL__dll,Static Currency Rates 00Dal00000bx9DL,Other,ACTIVE,1,2024-09-24T11:38:37.000Z,1dlam000000jdBiAAI
StaticCurrencyRates_00Dam00000Uo32q__dll,Static Currency Rates 00Dam00000Uo32q,Other,ACTIVE,1,2024-09-24T11:38:29.000Z,1dlam000000jQXuAAM
StaticCurrencyRates_InsuranceAFDC__dll,Static Currency Rates InsuranceAFDC,Other,ACTIVE,1,2025-10-08T18:08:50.000Z,1dlam000000xrjSAAQ
TenantDailyEntitlementConsumption__dll,TenantDailyEntitlementConsumption,Engagement,ACTIVE,,2024-07-24T13:15:18.000Z,1dlam000000UtWwAAK
TenantHourlyEntitlementConsumption__dll,TenantHourlyEntitlementConsumption,Engagement,ACTIVE,,2024-07-24T13:15:07.000Z,1dlam000000UtWvAAK
test2__dll,test2,Vector_Embedding,ACTIVE,,2026-04-02T20:19:34.000Z,1dlam000001CQKjAAO
TEST__dll,TEST,Vector_Embedding,ACTIVE,,2026-02-03T20:45:07.000Z,1dlam0000017kTlAAI
testinh__dll,testinh,Vector_Embedding,ACTIVE,,2026-04-01T14:54:49.000Z,1dlam000001CHVxAAO
tipo_pagamento__dll,tipo_pagamento,Other,ACTIVE,,2025-11-18T16:48:56.000Z,1dlam0000012N9dAAE
UserEngagement__dll,UserEngagement,Engagement,ACTIVE,6937,2025-02-18T01:40:57.000Z,1dlam000000mEbmAAE
VideoEngmtParticipant_Home__dll,VideoEngmtParticipant_Home,Engagement,ACTIVE,0,2026-02-21T11:32:27.000Z,1dlam0000018q5hAAA
VoiceCallParticipant_00Dam00000Uo32q__dll,VoiceCallParticipant_00Dam00000Uo32q,Other,ACTIVE,,2025-06-13T20:13:36.000Z,1dlam000000qWztAAE
VoiceCallParticipant_Home__dll,VoiceCallParticipant_Home,Other,ACTIVE,,2025-06-30T14:01:17.000Z,1dlam000000r8qfAAA
VoiceCallTopic_00Dam00000Uo32q__dll,VoiceCallTopic_00Dam00000Uo32q,Other,ACTIVE,,2025-06-13T20:15:10.000Z,1dlam000000qX1VAAU
VoiceCallTopic_Home__dll,VoiceCallTopic_Home,Other,ACTIVE,,2025-06-30T14:01:47.000Z,1dlam000000r8sHAAQ
