Stream Name,Data Source,Source Object,Connector Type,Category,Total Records,DLO Name,Last Refresh Date
PersonalizationDecision_00D5t000000FlSs,SalesforceDotCom_Home,PersonalizationDecision,SalesforceDotCom,Other,0,PersonalizationDecision_Home__dll,
PersonalizationLog_personalization_95A068DD,PersonalizationLog_5391ebcb_cd1b_4628_adb7_a2ceabb4da74,,IngestApi,Engagement,0,PersonalizationLog_personalizat_95A068DD__dll,2025-02-11T01:50:37.000Z
PersonalizationPoint_00D5t000000FlSs,SalesforceDotCom_Home,PersonalizationPoint,SalesforceDotCom,Other,0,PersonalizationPoint_Home__dll,
PersonalizationRecommend_00D5t000000FlSs,SalesforceDotCom_Home,PersonalizationRecommender,SalesforceDotCom,Other,0,PersonalizationRecommender_Home__dll,
PersonalizationSchema_00D5t000000FlSs,SalesforceDotCom_Home,PersonalizationSchema,SalesforceDotCom,Other,0,PersonalizationSchema_Home__dll,
PersonLifeEventFeed_Home,SalesforceDotCom_Home,PersonLifeEventFeed,SalesforceDotCom,Engagement,0,PersonLifeEventFeed_Home__dll,2026-07-02T16:50:37.000Z
PredictionAuditTrail,AIPlatform_EDC_MODEL_AUDIT_MONITORING,,AIPlatform,Engagement,0,PredictionAuditTrail__dll,2026-07-02T16:12:46.000Z
RecordView,SentOsEngagementConnector_73f2120c_cf01_4e2a_a831_675b70726c88,,IngestApi,Engagement,0,RecordView__dll,2026-05-22T22:32:42.000Z
SearchQuery,SentOsEngagementConnector_73f2120c_cf01_4e2a_a831_675b70726c88,,IngestApi,Engagement,0,SearchQuery__dll,2026-05-22T22:32:41.000Z
TenantBillingUsageEvent,TenantBillingUsageEvent,,TenantBillingUsageConnector,Engagement,0,TenantBillingUsageEvent__dll,2026-07-02T16:26:18.000Z
TenantEntitlementTransaction,SalesforceDotCom_Home,TenantEntitlementTransaction,SalesforceDotCom,Other,0,TenantEntitlementTransaction__dll,2026-07-02T16:50:36.000Z
TenantUsageTypeMultiplier,SalesforceDotCom_Home,TenantUsageTypeMultiplier,SalesforceDotCom,Other,0,TenantUsageTypeMultiplier__dll,2026-07-02T16:50:36.000Z
UserAccountTeamMember_Home,SalesforceDotCom_Home,UserAccountTeamMember,SalesforceDotCom,Profile,0,UserAccountTeamMember_Home__dll,2026-07-02T16:50:36.000Z
VideoCallRecording_Home,SalesforceDotCom_Home,VideoCallRecording,SalesforceDotCom,Other,0,VideoCallRecording_Home__dll,2025-12-31T21:50:37.000Z
WebEngagementEventsV2_00Dam00000Uo32q_DeviceToIndividualMatch_B94CF6A7,WebEngagementEventsV2_00Dam00000Uo32q_882b9846_f73d_42a9_800b_3b2af97d81e1,,IngestApi,Engagement,0,WebEngagementEventsV2_00Dam0000_B94CF6A7__dll,2025-11-25T05:09:13.000Z
WebEngagementEventsV2_DeviceToIndividualMatch_2EF27A96,WebEngagementEventsV2_427210bb_ecde_485a_9e81_46336acc2345,,IngestApi,Engagement,0,WebEngagementEventsV2_DeviceToI_2EF27A96__dll,2025-09-09T16:19:19.000Z
YTD_Transactions_SNOW,Jedi_Snowflake,,SNOWFLAKE,Engagement,0,YTD_Transactions_SNOW__dll,
