Stream Name,Data Source,Source Object,Connector Type,Category,Total Records,DLO Name,Last Refresh Date
PilotAIRetrieverResponse,AIPlatform_RAG_QUALITY_MONITORING,,AIPlatform,Engagement,4321,PilotAIRetrieverResponse__dll,2026-07-02T16:58:49.000Z
AiAgentGenerativeAiUsage,AIPlatform_AGENT_USAGE,,AIPlatform,Engagement,4253,AiAgentGenerativeAiUsage__dll,2026-07-02T16:41:03.000Z
Service_Now,Heroku_Postgres,,HerokuPostgres,Engagement,4009,Service_Now__dll,2026-02-12T17:24:30.000Z
AiAgentInteractionMessage,AIPlatform_AGENT_SESSION_TRACING,,AIPlatform,Engagement,3937,AiAgentInteractionMessage__dll,2026-07-02T16:46:17.000Z
DataSrcDataModelFieldMap_Home,SalesforceDotCom_Home,DataSrcDataModelFieldMap,SalesforceDotCom,Other,3382,DataSrcDataModelFieldMap_Home__dll,2025-07-05T09:06:11.000Z
ActivityInsightAction_00Dam00000Uo32q,ECI_ECI_S3,,ECI,Other,2932,ActivityInsightAction_00Dam00000Uo32q__dll,2026-07-02T16:19:49.000Z
ActivityInsightActionDtl_00Dam00000Uo32q,ECI_ECI_S3,,ECI,Other,2928,ActivityInsightActionDtl_00Dam00000Uo32q__dll,2026-07-02T16:30:54.000Z
TenantBillingUsageEvent_De_1728959211458,C360_AWS_Account,,AwsS3,Engagement,2755,TenantBillingUsageEvent_De_1728959211458__dll,2025-12-31T06:01:12.000Z
FileEvent_Salesforce_Platform_Events,Salesforce_Platform_Events,,EventBusConnector,Engagement,2182,FileEvent_Salesforce_Platform_Events__dll,2026-07-02T16:29:05.000Z
CSAT,Heroku_Postgres,,HerokuPostgres,Other,2023,CSAT__dll,2026-02-12T17:22:06.000Z
AiAgentSession,AIPlatform_AGENT_SESSION_TRACING,,AIPlatform,Profile,1951,AiAgentSession__dll,2026-07-02T16:45:21.000Z
AiAgentInteraction,AIPlatform_AGENT_SESSION_TRACING,,AIPlatform,Engagement,1883,AiAgentInteraction__dll,2026-07-02T16:49:45.000Z
SetupPageSearchMetadataStream_K7M3X_SetupPageSearchMetadata_F85193EB,SetupPageSearchMetadataConnector_K7M3X_f6c722d0_9c27_482f_a93b_54dec11d2a5a,,IngestApi,Other,1696,SetupPageSearchMetadataStream_K_F85193EB__dll,2026-03-16T21:11:37.000Z
PermissionSetEvent_Salesforce_Platform_E,Salesforce_Platform_Events,,EventBusConnector,Engagement,1551,PermissionSetEvent_Salesforce_Platform_E__dll,2026-07-02T16:35:26.000Z
ListViewEventStream_Salesforce_Platform,Salesforce_Platform_Events,,EventBusConnector,Engagement,1510,ListViewEventStream_Salesforce_Platform__dll,2026-07-02T16:25:21.000Z
DataObjectTagSuggestion_Home,SalesforceDotCom_Home,DataObjectTagSuggestion,SalesforceDotCom,Other,1191,DataObjectTagSuggestion_Home__dll,2026-07-02T16:50:36.000Z
TenantHourlyEntitlementCon_1728959211384,C360_AWS_Account,,AwsS3,Profile,1138,TenantHourlyEntitlementCon_1728959211384__dll,2026-02-12T17:29:11.000Z
ConversationDefinitionSession_Home,SalesforceDotCom_Home,ConversationDefinitionSession,SalesforceDotCom,Other,1128,ConversationDefinitionSession_Home__dll,2025-12-31T17:05:37.000Z
PermissionSetAssignment_Home,SalesforceDotCom_Home,PermissionSetAssignment,SalesforceDotCom,Other,1014,PermissionSetAssignment_Home__dll,2025-12-31T17:05:37.000Z
meterreads_Databricks,Databricks_Databricks,,Databricks,Profile,1008,meterreads_Databricks__dll,
PermissionSet_Home,SalesforceDotCom_Home,PermissionSet,SalesforceDotCom,Other,970,PermissionSet_Home__dll,2025-12-31T17:05:37.000Z
ActivityInsight_00Dam00000Uo32q,ECI_ECI_S3,,ECI,Engagement,911,ActivityInsight_00Dam00000Uo32q__dll,2026-07-02T16:21:56.000Z
Customer_Jedi_Azure_SQL,Jedi_Azure_SQL,,AzureSql,Profile,847,Customer_Jedi_Azure_SQL__dll,2026-03-26T17:48:31.000Z
DataPackageKitObject_Home,SalesforceDotCom_Home,DataPackageKitObject,SalesforceDotCom,Other,756,DataPackageKitObject_Home__dll,2026-07-02T16:50:36.000Z
ReportEventStream_Salesforce_Platform_Ev,Salesforce_Platform_Events,,EventBusConnector,Engagement,712,ReportEventStream_Salesforce_Platform_Ev__dll,2026-07-02T16:31:10.000Z
